plate,batch,colour,parts,raw_time,hours,grams,prev_model_hours,prev_model_grams,delta_hours,delta_grams,brim_mm,size_kb
B00-P1,B00,black,8,3h 57m 38s,3.9606,51.66,3.5,57,+0.46,-5.3,0,337
B01-P1,B01,black,7,15h 12m 35s,15.2097,201.19,12.7,216,+2.51,-14.8,0,1469
B01-P2,B01,black,16,7h 33m 52s,7.5644,99.99,6.7,108,+0.86,-8.0,0,1654
B02-P1,B02,orange,7,7h 0m 17s,7.0047,90.03,5.9,100,+1.10,-10.0,0,2017
B02-P2,B02,orange,13,7h 15m 7s,7.2519,92.98,6.1,102,+1.15,-9.0,5,1049
B02-P3,B02,orange,29,7h 33m 44s,7.5622,95.58,6.5,106,+1.06,-10.4,0,2490
B03-P1,B03,black,4,4h 21m 40s,4.3611,60.46,3.9,66,+0.46,-5.5,0,886
B03-P2,B03,black,4,4h 8m 31s,4.1419,58.53,3.8,64,+0.34,-5.5,0,887
B04-P1,B04,black,7,8h 33m 28s,8.5578,116.63,7.3,122,+1.26,-5.4,0,1381
B05-P1,B05,black,14,6h 21m 55s,6.3653,78.01,5.2,83,+1.17,-5.0,0,2885
B06-P1,B06,black,7,7h 57m 37s,7.9603,96.92,6.3,106,+1.66,-9.1,0,3795
B06-P2,B06,black,12,4h 12m 2s,4.2006,50.81,3.5,56,+0.70,-5.2,0,737
B07-P1,B07,black,13,5h 36m 56s,5.6156,67.34,3.6,60,+2.02,+7.3,3,395
B07-P2,B07,black,8,8h 8m 54s,8.1483,123.94,7.5,127,+0.65,-3.1,3,323
B07-P3,B07,black,1,2h 16m 15s,2.2708,34.52,2.1,36,+0.17,-1.5,3,172
B08-P1,B08,black,2,6h 16m 11s,6.2697,99.22,6.1,105,+0.17,-5.8,3,306
B08-P2,B08,black,2,5h 1m 35s,5.0264,66.80,4.3,74,+0.73,-7.2,3,387
B08-P3,B08,black,2,5h 28m 3s,5.4675,70.60,4.6,78,+0.87,-7.4,3,287
B08-P4,B08,black,2,5h 5m 15s,5.0875,65.78,4.3,74,+0.79,-8.2,3,234
B08-P5,B08,black,2,4h 58m 10s,4.9694,69.98,4.4,76,+0.57,-6.0,3,271
B08-P6,B08,black,1,2h 16m 18s,2.2717,26.31,1.8,30,+0.47,-3.7,0,143
B09-P1,B09,black,3,4h 32m 49s,4.5469,62.80,4.1,71,+0.45,-8.2,3,1316
B09-P2,B09,black,2,4h 55m 58s,4.9328,67.37,4.3,73,+0.63,-5.6,3,2245
B09-P3,B09,black,7,3h 54m 20s,3.9056,54.60,3.5,60,+0.41,-5.4,3,750
B09-P4,B09,black,21,4h 11m 30s,4.1917,56.03,3.6,59,+0.59,-3.0,0,1226
B09-P5,B09,black,16,4h 18m 53s,4.3147,55.71,3.6,59,+0.71,-3.3,0,1104
B10-P1,B10,black,8,5h 42m 57s,5.7158,75.61,5.1,80,+0.62,-4.4,5,174
TOTAL,,,218,,156.8750,2089.40,134.3,2248,+22.58,-158.6,,
